Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
846982,Clifton (historical),Populated Place,Lander County,Nevada,Austin,1932,39.4982588,-117.0795345,None,10/1/1990,null,null,null,null,32015,32
847677,Clinton (historical),Populated Place,Lander County,Nevada,Austin,2210,39.3971495,-117.0517549,None,1/1/1991,null,null,null,null,32015,32
862754,Clover (historical),Populated Place,Elko County,Nevada,Gordon Creek,1774,40.7549256,-115.0392103,None,4/1/1990,null,null,null,null,32007,32
846874,Cloverdale (historical),Populated Place,Nye County,Nevada,Cloverdale Ranch,1769,38.5654831,-117.5492672,None,10/1/1990,null,null,null,null,32023,32
855993,Cluro,Populated Place,Eureka County,Nevada,Scotts Gulch,1455,40.5807496,-116.3234139,None,12/12/1980,13000,U6,null,null,32011,32
839592,Coaldale,Populated Place,Esmeralda County,Nevada,Coaldale,1421,38.0274306,-117.8831592,None,12/12/1980,13100,U6,null,null,32009,32
854797,Coaldale (historical),Populated Place,Esmeralda County,Nevada,Coaldale,1397,38.0424304,-117.8934376,None,7/1/1990,null,null,null,null,32009,32
855994,Coaldale Junction,Populated Place,Esmeralda County,Nevada,Coaldale,1411,38.0315972,-117.8870483,None,12/12/1980,13200,U6,null,null,32009,32
845410,Cobre,Populated Place,Elko County,Nevada,Cobre,1805,41.1118689,-114.4008572,None,12/12/1980,13300,U6,null,null,32007,32
855995,Coin,Populated Place,Elko County,Nevada,Osino,1558,40.8829762,-115.7156229,None,12/12/1980,13500,U6,null,null,32007,32
855996,Colado,Populated Place,Pershing County,Nevada,Lovelock,1235,40.2454646,-118.3929236,None,12/12/1980,13700,U6,null,null,32027,32
857942,Cold Spring,Populated Place,Lincoln County,Nevada,Panaca,1427,37.7513538,-114.4247126,None,12/12/1980,14000,U6,null,null,32017,32
1852655,Cold Springs,Populated Place,Washoe County,Nevada,Reno NW,1542,39.680186,-119.9765878,None,1/13/2000,14090,U5,null,null,32031,32
855997,Cold Springs,Populated Place,Churchill County,Nevada,Cold Springs,1696,39.412144,-117.8392845,None,12/12/1980,14020,U6,null,null,32001,32
